Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time
111,2024-07-21 15:26:45,0.007,2024,07,21,15,26,45,0 days 01:26:38
111,2024-07-21 15:26:46,5.236,2024,07,21,15,26,46,
111,2024-07-21 15:26:47,5.237,2024,07,21,15,26,47,
111,2024-07-21 15:26:48,5.238,2024,07,21,15,26,48,
111,2024-07-21 15:26:49,5.238,2024,07,21,15,26,49,
111,2024-07-21 15:26:50,5.238,2024,07,21,15,26,50,
111,2024-07-21 15:26:51,5.238,2024,07,21,15,26,51,
111,2024-07-21 15:26:52,5.238,2024,07,21,15,26,52,
111,2024-07-21 15:26:53,5.239,2024,07,21,15,26,53,
111,2024-07-21 15:26:54,5.238,2024,07,21,15,26,54,
111,2024-07-21 15:26:55,5.239,2024,07,21,15,26,55,
111,2024-07-21 15:26:56,5.239,2024,07,21,15,26,56,
111,2024-07-21 15:26:57,5.239,2024,07,21,15,26,57,
111,2024-07-21 15:26:58,5.239,2024,07,21,15,26,58,
111,2024-07-21 15:26:59,5.238,2024,07,21,15,26,59,
111,2024-07-21 15:27:00,5.238,2024,07,21,15,27,0,
111,2024-07-21 15:27:01,5.238,2024,07,21,15,27,1,
111,2024-07-21 15:27:02,5.238,2024,07,21,15,27,2,
111,2024-07-21 15:27:03,5.239,2024,07,21,15,27,3,
111,2024-07-21 15:27:04,5.238,2024,07,21,15,27,4,
111,2024-07-21 15:27:05,5.238,2024,07,21,15,27,5,
111,2024-07-21 15:27:06,5.239,2024,07,21,15,27,6,
111,2024-07-21 15:27:07,5.238,2024,07,21,15,27,7,
111,2024-07-21 15:27:08,5.239,2024,07,21,15,27,8,
111,2024-07-21 15:27:09,5.239,2024,07,21,15,27,9,
111,2024-07-21 15:27:10,5.239,2024,07,21,15,27,10,
111,2024-07-21 15:27:11,5.238,2024,07,21,15,27,11,
111,2024-07-21 15:27:12,5.238,2024,07,21,15,27,12,
111,2024-07-21 15:27:13,5.239,2024,07,21,15,27,13,
111,2024-07-21 15:27:14,5.238,2024,07,21,15,27,14,
111,2024-07-21 15:27:15,5.238,2024,07,21,15,27,15,
111,2024-07-21 15:27:16,5.238,2024,07,21,15,27,16,
111,2024-07-21 15:27:17,5.238,2024,07,21,15,27,17,
111,2024-07-21 15:27:18,5.237,2024,07,21,15,27,18,
111,2024-07-21 15:27:19,5.239,2024,07,21,15,27,19,
111,2024-07-21 15:27:20,5.238,2024,07,21,15,27,20,
111,2024-07-21 15:27:21,5.238,2024,07,21,15,27,21,
111,2024-07-21 15:27:22,5.238,2024,07,21,15,27,22,
111,2024-07-21 15:27:23,5.238,2024,07,21,15,27,23,
111,2024-07-21 15:27:24,5.238,2024,07,21,15,27,24,
111,2024-07-21 15:27:25,5.239,2024,07,21,15,27,25,
111,2024-07-21 15:27:26,5.239,2024,07,21,15,27,26,
111,2024-07-21 15:27:27,5.239,2024,07,21,15,27,27,
111,2024-07-21 15:27:28,5.238,2024,07,21,15,27,28,
111,2024-07-21 15:27:29,5.239,2024,07,21,15,27,29,
111,2024-07-21 15:27:30,5.239,2024,07,21,15,27,30,
111,2024-07-21 15:27:31,5.239,2024,07,21,15,27,31,
111,2024-07-21 15:27:32,5.239,2024,07,21,15,27,32,
111,2024-07-21 15:27:33,5.238,2024,07,21,15,27,33,
111,2024-07-21 15:27:34,5.238,2024,07,21,15,27,34,
111,2024-07-21 15:27:35,5.238,2024,07,21,15,27,35,
111,2024-07-21 15:27:36,5.239,2024,07,21,15,27,36,
111,2024-07-21 15:27:37,5.238,2024,07,21,15,27,37,
111,2024-07-21 15:27:38,5.238,2024,07,21,15,27,38,
111,2024-07-21 15:27:39,5.239,2024,07,21,15,27,39,
111,2024-07-21 15:27:40,5.239,2024,07,21,15,27,40,
111,2024-07-21 15:27:41,5.238,2024,07,21,15,27,41,
111,2024-07-21 15:27:42,5.238,2024,07,21,15,27,42,
111,2024-07-21 15:27:43,5.238,2024,07,21,15,27,43,
111,2024-07-21 15:27:44,5.238,2024,07,21,15,27,44,
111,2024-07-21 15:27:45,5.239,2024,07,21,15,27,45,
111,2024-07-21 15:27:46,5.239,2024,07,21,15,27,46,
111,2024-07-21 15:27:47,5.238,2024,07,21,15,27,47,
111,2024-07-21 15:27:48,5.23,2024,07,21,15,27,48,
111,2024-07-21 15:27:49,5.223,2024,07,21,15,27,49,
111,2024-07-21 15:27:50,5.215,2024,07,21,15,27,50,
111,2024-07-21 15:27:51,5.206,2024,07,21,15,27,51,
111,2024-07-21 15:27:52,5.199,2024,07,21,15,27,52,
111,2024-07-21 15:27:53,5.192,2024,07,21,15,27,53,
111,2024-07-21 15:27:54,5.183,2024,07,21,15,27,54,
111,2024-07-21 15:27:55,5.176,2024,07,21,15,27,55,
111,2024-07-21 15:27:56,5.169,2024,07,21,15,27,56,
111,2024-07-21 15:27:57,5.161,2024,07,21,15,27,57,
111,2024-07-21 15:27:58,5.156,2024,07,21,15,27,58,
111,2024-07-21 15:27:59,5.149,2024,07,21,15,27,59,
111,2024-07-21 15:28:00,5.14,2024,07,21,15,28,0,
111,2024-07-21 15:28:01,5.131,2024,07,21,15,28,1,
111,2024-07-21 15:28:02,5.125,2024,07,21,15,28,2,
111,2024-07-21 15:28:03,5.117,2024,07,21,15,28,3,
111,2024-07-21 15:28:04,5.11,2024,07,21,15,28,4,
111,2024-07-21 15:28:05,5.101,2024,07,21,15,28,5,
111,2024-07-21 15:28:06,5.095,2024,07,21,15,28,6,
111,2024-07-21 15:28:07,5.088,2024,07,21,15,28,7,
111,2024-07-21 15:28:08,5.081,2024,07,21,15,28,8,
111,2024-07-21 15:28:09,5.073,2024,07,21,15,28,9,
111,2024-07-21 15:28:10,5.066,2024,07,21,15,28,10,
111,2024-07-21 15:28:11,5.06,2024,07,21,15,28,11,
111,2024-07-21 15:28:12,5.051,2024,07,21,15,28,12,
111,2024-07-21 15:28:13,5.045,2024,07,21,15,28,13,
111,2024-07-21 15:28:14,5.036,2024,07,21,15,28,14,
111,2024-07-21 15:28:15,5.03,2024,07,21,15,28,15,
111,2024-07-21 15:28:16,5.024,2024,07,21,15,28,16,
111,2024-07-21 15:28:17,5.016,2024,07,21,15,28,17,
