Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Elapsed
111,2025-04-29 08:59:29,0.008,2025,04,29,08,59,29,0 days 00:00:22
111,2025-04-29 08:59:30,4.022,2025,04,29,08,59,30,
111,2025-04-29 08:59:31,4.023,2025,04,29,08,59,31,
111,2025-04-29 08:59:32,4.023,2025,04,29,08,59,32,
111,2025-04-29 08:59:33,4.024,2025,04,29,08,59,33,
111,2025-04-29 08:59:34,4.024,2025,04,29,08,59,34,
111,2025-04-29 08:59:35,4.024,2025,04,29,08,59,35,
111,2025-04-29 08:59:36,4.024,2025,04,29,08,59,36,
111,2025-04-29 08:59:37,4.024,2025,04,29,08,59,37,
111,2025-04-29 08:59:38,4.025,2025,04,29,08,59,38,
111,2025-04-29 08:59:39,4.024,2025,04,29,08,59,39,
111,2025-04-29 08:59:40,4.024,2025,04,29,08,59,40,
111,2025-04-29 08:59:41,4.024,2025,04,29,08,59,41,
111,2025-04-29 08:59:42,4.025,2025,04,29,08,59,42,
111,2025-04-29 08:59:43,4.025,2025,04,29,08,59,43,
111,2025-04-29 08:59:44,4.025,2025,04,29,08,59,44,
111,2025-04-29 08:59:45,4.025,2025,04,29,08,59,45,
111,2025-04-29 08:59:46,4.025,2025,04,29,08,59,46,
111,2025-04-29 08:59:47,4.025,2025,04,29,08,59,47,
111,2025-04-29 08:59:48,4.025,2025,04,29,08,59,48,
111,2025-04-29 08:59:49,4.025,2025,04,29,08,59,49,
111,2025-04-29 08:59:50,4.024,2025,04,29,08,59,50,
111,2025-04-29 08:59:51,4.025,2025,04,29,08,59,51,
