Channel,Timestamp,Voltage,Year,Month,Day,Hour,Minute,Second,Elapsed
101,2025-05-07 16:17:58,3.450095,2025,05,07,16,17,58,0 days 01:24:04
101,2025-05-07 16:17:59,3.533436,2025,05,07,16,17,59,
101,2025-05-07 16:18:00,3.538291,2025,05,07,16,18,0,
101,2025-05-07 16:18:01,3.542382,2025,05,07,16,18,1,
101,2025-05-07 16:18:02,3.546054,2025,05,07,16,18,2,
101,2025-05-07 16:18:03,3.549438,2025,05,07,16,18,3,
101,2025-05-07 16:18:04,3.552618,2025,05,07,16,18,4,
101,2025-05-07 16:18:05,3.555632,2025,05,07,16,18,5,
101,2025-05-07 16:18:06,3.558513,2025,05,07,16,18,6,
101,2025-05-07 16:18:07,3.561282,2025,05,07,16,18,7,
101,2025-05-07 16:18:08,3.563955,2025,05,07,16,18,8,
101,2025-05-07 16:18:09,3.566553,2025,05,07,16,18,9,
101,2025-05-07 16:18:10,3.569078,2025,05,07,16,18,10,
101,2025-05-07 16:18:11,3.571545,2025,05,07,16,18,11,
101,2025-05-07 16:18:12,3.573947,2025,05,07,16,18,12,
101,2025-05-07 16:18:13,3.576303,2025,05,07,16,18,13,
101,2025-05-07 16:18:14,3.578618,2025,05,07,16,18,14,
101,2025-05-07 16:18:15,3.580883,2025,05,07,16,18,15,
101,2025-05-07 16:18:16,3.583117,2025,05,07,16,18,16,
101,2025-05-07 16:18:17,3.585313,2025,05,07,16,18,17,
101,2025-05-07 16:18:18,3.587472,2025,05,07,16,18,18,
101,2025-05-07 16:18:19,3.589609,2025,05,07,16,18,19,
101,2025-05-07 16:18:20,3.591711,2025,05,07,16,18,20,
101,2025-05-07 16:18:21,3.593786,2025,05,07,16,18,21,
101,2025-05-07 16:18:22,3.595844,2025,05,07,16,18,22,
101,2025-05-07 16:18:23,3.59787,2025,05,07,16,18,23,
101,2025-05-07 16:18:24,3.59987,2025,05,07,16,18,24,
101,2025-05-07 16:18:25,3.601856,2025,05,07,16,18,25,
101,2025-05-07 16:18:26,3.603815,2025,05,07,16,18,26,
101,2025-05-07 16:18:27,3.605757,2025,05,07,16,18,27,
101,2025-05-07 16:18:28,3.607676,2025,05,07,16,18,28,
101,2025-05-07 16:18:29,3.609578,2025,05,07,16,18,29,
101,2025-05-07 16:18:30,3.611467,2025,05,07,16,18,30,
101,2025-05-07 16:18:31,3.613328,2025,05,07,16,18,31,
101,2025-05-07 16:18:32,3.61518,2025,05,07,16,18,32,
101,2025-05-07 16:18:33,3.617007,2025,05,07,16,18,33,
101,2025-05-07 16:18:34,3.618827,2025,05,07,16,18,34,
101,2025-05-07 16:18:35,3.620625,2025,05,07,16,18,35,
101,2025-05-07 16:18:36,3.622406,2025,05,07,16,18,36,
101,2025-05-07 16:18:37,3.62418,2025,05,07,16,18,37,
101,2025-05-07 16:18:38,3.62593,2025,05,07,16,18,38,
101,2025-05-07 16:18:39,3.62767,2025,05,07,16,18,39,
101,2025-05-07 16:18:40,3.629398,2025,05,07,16,18,40,
101,2025-05-07 16:18:41,3.631102,2025,05,07,16,18,41,
101,2025-05-07 16:18:42,3.632805,2025,05,07,16,18,42,
101,2025-05-07 16:18:43,3.634493,2025,05,07,16,18,43,
101,2025-05-07 16:18:44,3.636163,2025,05,07,16,18,44,
101,2025-05-07 16:18:45,3.637818,2025,05,07,16,18,45,
101,2025-05-07 16:18:46,3.639472,2025,05,07,16,18,46,
101,2025-05-07 16:18:47,3.641103,2025,05,07,16,18,47,
101,2025-05-07 16:18:48,3.642722,2025,05,07,16,18,48,
101,2025-05-07 16:18:49,3.644333,2025,05,07,16,18,49,
101,2025-05-07 16:18:50,3.645929,2025,05,07,16,18,50,
101,2025-05-07 16:18:51,3.647518,2025,05,07,16,18,51,
101,2025-05-07 16:18:52,3.649091,2025,05,07,16,18,52,
101,2025-05-07 16:18:53,3.650652,2025,05,07,16,18,53,
101,2025-05-07 16:18:54,3.652202,2025,05,07,16,18,54,
101,2025-05-07 16:18:55,3.653742,2025,05,07,16,18,55,
101,2025-05-07 16:18:56,3.655273,2025,05,07,16,18,56,
101,2025-05-07 16:18:57,3.656795,2025,05,07,16,18,57,
101,2025-05-07 16:18:58,3.658303,2025,05,07,16,18,58,
101,2025-05-07 16:18:59,3.659802,2025,05,07,16,18,59,
101,2025-05-07 16:19:00,3.661287,2025,05,07,16,19,0,
101,2025-05-07 16:19:01,3.662769,2025,05,07,16,19,1,
101,2025-05-07 16:19:02,3.664232,2025,05,07,16,19,2,
101,2025-05-07 16:19:03,3.665693,2025,05,07,16,19,3,
101,2025-05-07 16:19:04,3.66714,2025,05,07,16,19,4,
101,2025-05-07 16:19:05,3.668579,2025,05,07,16,19,5,
101,2025-05-07 16:19:06,3.670015,2025,05,07,16,19,6,
101,2025-05-07 16:19:07,3.671435,2025,05,07,16,19,7,
101,2025-05-07 16:19:08,3.672845,2025,05,07,16,19,8,
101,2025-05-07 16:19:09,3.674242,2025,05,07,16,19,9,
101,2025-05-07 16:19:10,3.675638,2025,05,07,16,19,10,
101,2025-05-07 16:19:11,3.677029,2025,05,07,16,19,11,
101,2025-05-07 16:19:12,3.678407,2025,05,07,16,19,12,
101,2025-05-07 16:19:13,3.679764,2025,05,07,16,19,13,
101,2025-05-07 16:19:14,3.681121,2025,05,07,16,19,14,
101,2025-05-07 16:19:15,3.682476,2025,05,07,16,19,15,
101,2025-05-07 16:19:16,3.683817,2025,05,07,16,19,16,
101,2025-05-07 16:19:17,3.685155,2025,05,07,16,19,17,
101,2025-05-07 16:19:18,3.686478,2025,05,07,16,19,18,
101,2025-05-07 16:19:19,3.687799,2025,05,07,16,19,19,
101,2025-05-07 16:19:20,3.689106,2025,05,07,16,19,20,
101,2025-05-07 16:19:21,3.690403,2025,05,07,16,19,21,
101,2025-05-07 16:19:22,3.691695,2025,05,07,16,19,22,
101,2025-05-07 16:19:23,3.692979,2025,05,07,16,19,23,
101,2025-05-07 16:19:24,3.694256,2025,05,07,16,19,24,
101,2025-05-07 16:19:25,3.695529,2025,05,07,16,19,25,
101,2025-05-07 16:19:26,3.696795,2025,05,07,16,19,26,
101,2025-05-07 16:19:27,3.698047,2025,05,07,16,19,27,
101,2025-05-07 16:19:28,3.699295,2025,05,07,16,19,28,
101,2025-05-07 16:19:29,3.700535,2025,05,07,16,19,29,
101,2025-05-07 16:19:30,3.701765,2025,05,07,16,19,30,
101,2025-05-07 16:19:31,3.702998,2025,05,07,16,19,31,
101,2025-05-07 16:19:32,3.704213,2025,05,07,16,19,32,
101,2025-05-07 16:19:33,3.705428,2025,05,07,16,19,33,
101,2025-05-07 16:19:34,3.706629,2025,05,07,16,19,34,
101,2025-05-07 16:19:35,3.707823,2025,05,07,16,19,35,
101,2025-05-07 16:19:36,3.709013,2025,05,07,16,19,36,
101,2025-05-07 16:19:37,3.710194,2025,05,07,16,19,37,
101,2025-05-07 16:19:38,3.711378,2025,05,07,16,19,38,
101,2025-05-07 16:19:39,3.712541,2025,05,07,16,19,39,
101,2025-05-07 16:19:40,3.713702,2025,05,07,16,19,40,
101,2025-05-07 16:19:41,3.714859,2025,05,07,16,19,41,
101,2025-05-07 16:19:42,3.716008,2025,05,07,16,19,42,
101,2025-05-07 16:19:43,3.717158,2025,05,07,16,19,43,
101,2025-05-07 16:19:44,3.718291,2025,05,07,16,19,44,
101,2025-05-07 16:19:45,3.719422,2025,05,07,16,19,45,
101,2025-05-07 16:19:46,3.720543,2025,05,07,16,19,46,
101,2025-05-07 16:19:47,3.721653,2025,05,07,16,19,47,
101,2025-05-07 16:19:48,3.722762,2025,05,07,16,19,48,
101,2025-05-07 16:19:49,3.723871,2025,05,07,16,19,49,
101,2025-05-07 16:19:50,3.724966,2025,05,07,16,19,50,
101,2025-05-07 16:19:51,3.726061,2025,05,07,16,19,51,
101,2025-05-07 16:19:52,3.727144,2025,05,07,16,19,52,
101,2025-05-07 16:19:53,3.728224,2025,05,07,16,19,53,
101,2025-05-07 16:19:54,3.729296,2025,05,07,16,19,54,
101,2025-05-07 16:19:55,3.730367,2025,05,07,16,19,55,
101,2025-05-07 16:19:56,3.73143,2025,05,07,16,19,56,
101,2025-05-07 16:19:57,3.732479,2025,05,07,16,19,57,
101,2025-05-07 16:19:58,3.733535,2025,05,07,16,19,58,
101,2025-05-07 16:19:59,3.734575,2025,05,07,16,19,59,
101,2025-05-07 16:20:00,3.735611,2025,05,07,16,20,0,
101,2025-05-07 16:20:01,3.736641,2025,05,07,16,20,1,
101,2025-05-07 16:20:02,3.737665,2025,05,07,16,20,2,
101,2025-05-07 16:20:03,3.738689,2025,05,07,16,20,3,
101,2025-05-07 16:20:04,3.739702,2025,05,07,16,20,4,
101,2025-05-07 16:20:05,3.740708,2025,05,07,16,20,5,
101,2025-05-07 16:20:06,3.741707,2025,05,07,16,20,6,
101,2025-05-07 16:20:07,3.742719,2025,05,07,16,20,7,
101,2025-05-07 16:20:08,3.743695,2025,05,07,16,20,8,
101,2025-05-07 16:20:09,3.744679,2025,05,07,16,20,9,
101,2025-05-07 16:20:10,3.745657,2025,05,07,16,20,10,
101,2025-05-07 16:20:11,3.746631,2025,05,07,16,20,11,
101,2025-05-07 16:20:12,3.747598,2025,05,07,16,20,12,
101,2025-05-07 16:20:13,3.748556,2025,05,07,16,20,13,
101,2025-05-07 16:20:14,3.749517,2025,05,07,16,20,14,
101,2025-05-07 16:20:15,3.750467,2025,05,07,16,20,15,
101,2025-05-07 16:20:16,3.75141,2025,05,07,16,20,16,
101,2025-05-07 16:20:17,3.752346,2025,05,07,16,20,17,
101,2025-05-07 16:20:18,3.753275,2025,05,07,16,20,18,
101,2025-05-07 16:20:19,3.754205,2025,05,07,16,20,19,
101,2025-05-07 16:20:20,3.755123,2025,05,07,16,20,20,
101,2025-05-07 16:20:21,3.756039,2025,05,07,16,20,21,
101,2025-05-07 16:20:22,3.756949,2025,05,07,16,20,22,
101,2025-05-07 16:20:23,3.757854,2025,05,07,16,20,23,
101,2025-05-07 16:20:24,3.758746,2025,05,07,16,20,24,
101,2025-05-07 16:20:25,3.75964,2025,05,07,16,20,25,
101,2025-05-07 16:20:26,3.760525,2025,05,07,16,20,26,
101,2025-05-07 16:20:27,3.761398,2025,05,07,16,20,27,
101,2025-05-07 16:20:28,3.762271,2025,05,07,16,20,28,
101,2025-05-07 16:20:29,3.763135,2025,05,07,16,20,29,
101,2025-05-07 16:20:30,3.763996,2025,05,07,16,20,30,
101,2025-05-07 16:20:31,3.764844,2025,05,07,16,20,31,
101,2025-05-07 16:20:32,3.765687,2025,05,07,16,20,32,
101,2025-05-07 16:20:33,3.766521,2025,05,07,16,20,33,
101,2025-05-07 16:20:34,3.767355,2025,05,07,16,20,34,
101,2025-05-07 16:20:35,3.768175,2025,05,07,16,20,35,
101,2025-05-07 16:20:36,3.768987,2025,05,07,16,20,36,
101,2025-05-07 16:20:37,3.769792,2025,05,07,16,20,37,
101,2025-05-07 16:20:38,3.770585,2025,05,07,16,20,38,
101,2025-05-07 16:20:39,3.771366,2025,05,07,16,20,39,
101,2025-05-07 16:20:40,3.772143,2025,05,07,16,20,40,
101,2025-05-07 16:20:41,3.772902,2025,05,07,16,20,41,
101,2025-05-07 16:20:42,3.773653,2025,05,07,16,20,42,
101,2025-05-07 16:20:43,3.774391,2025,05,07,16,20,43,
101,2025-05-07 16:20:44,3.775117,2025,05,07,16,20,44,
101,2025-05-07 16:20:45,3.775826,2025,05,07,16,20,45,
101,2025-05-07 16:20:46,3.776517,2025,05,07,16,20,46,
