Channel,Timestamp,Voltage,Year,Month,Day,Hour,Minute,Second,Total_time
101,2024-07-20 17:39:16,3.915583,2024,07,20,17,39,16,0 days 01:25:25
101,2024-07-20 17:39:17,3.989629,2024,07,20,17,39,17,
101,2024-07-20 17:39:18,3.991963,2024,07,20,17,39,18,
101,2024-07-20 17:39:19,3.993826,2024,07,20,17,39,19,
101,2024-07-20 17:39:20,3.995384,2024,07,20,17,39,20,
101,2024-07-20 17:39:21,3.996739,2024,07,20,17,39,21,
101,2024-07-20 17:39:22,3.997931,2024,07,20,17,39,22,
101,2024-07-20 17:39:23,3.998994,2024,07,20,17,39,23,
101,2024-07-20 17:39:24,3.999954,2024,07,20,17,39,24,
101,2024-07-20 17:39:25,4.000832,2024,07,20,17,39,25,
101,2024-07-20 17:39:26,4.001645,2024,07,20,17,39,26,
101,2024-07-20 17:39:27,4.002396,2024,07,20,17,39,27,
101,2024-07-20 17:39:28,4.003103,2024,07,20,17,39,28,
101,2024-07-20 17:39:29,4.00378,2024,07,20,17,39,29,
101,2024-07-20 17:39:30,4.004412,2024,07,20,17,39,30,
101,2024-07-20 17:39:31,4.00502,2024,07,20,17,39,31,
101,2024-07-20 17:39:32,4.005609,2024,07,20,17,39,32,
101,2024-07-20 17:39:33,4.006167,2024,07,20,17,39,33,
101,2024-07-20 17:39:34,4.006717,2024,07,20,17,39,34,
101,2024-07-20 17:39:35,4.007247,2024,07,20,17,39,35,
101,2024-07-20 17:39:36,4.007766,2024,07,20,17,39,36,
101,2024-07-20 17:39:37,4.008274,2024,07,20,17,39,37,
101,2024-07-20 17:39:38,4.008773,2024,07,20,17,39,38,
101,2024-07-20 17:39:39,4.009268,2024,07,20,17,39,39,
101,2024-07-20 17:39:40,4.009745,2024,07,20,17,39,40,
101,2024-07-20 17:39:41,4.010221,2024,07,20,17,39,41,
101,2024-07-20 17:39:42,4.010692,2024,07,20,17,39,42,
101,2024-07-20 17:39:43,4.011163,2024,07,20,17,39,43,
101,2024-07-20 17:39:44,4.01162,2024,07,20,17,39,44,
101,2024-07-20 17:39:45,4.01208,2024,07,20,17,39,45,
101,2024-07-20 17:39:46,4.012534,2024,07,20,17,39,46,
101,2024-07-20 17:39:47,4.01299,2024,07,20,17,39,47,
101,2024-07-20 17:39:48,4.013437,2024,07,20,17,39,48,
101,2024-07-20 17:39:49,4.013882,2024,07,20,17,39,49,
101,2024-07-20 17:39:50,4.014326,2024,07,20,17,39,50,
101,2024-07-20 17:39:51,4.014767,2024,07,20,17,39,51,
101,2024-07-20 17:39:52,4.015206,2024,07,20,17,39,52,
101,2024-07-20 17:39:53,4.015562,2024,07,20,17,39,53,
101,2024-07-20 17:39:54,4.015859,2024,07,20,17,39,54,
101,2024-07-20 17:39:55,4.016183,2024,07,20,17,39,55,
101,2024-07-20 17:39:56,4.016481,2024,07,20,17,39,56,
101,2024-07-20 17:39:57,4.016781,2024,07,20,17,39,57,
101,2024-07-20 17:39:58,4.017099,2024,07,20,17,39,58,
101,2024-07-20 17:39:59,4.017373,2024,07,20,17,39,59,
