Channel_x,Timestamp,Voltage,Year_x,Month_x,Day_x,Hour_x,Minute_x,Second_x,Total_time_x,Channel_y,Current,Year_y,Month_y,Day_y,Hour_y,Minute_y,Second_y,Total_time_y,Capacity,Power,TimeDelta
101,2024-07-20 19:29:17,4.194956,2024,7,20,19,29,17,0 days 00:05:23,111,0.002,2024,7,20,19,29,17,0 days 00:05:22,0.0,0.008389912000000001,0.0
101,2024-07-20 19:29:18,3.944745,2024,7,20,19,29,18,,111,18.225,2024,7,20,19,29,18,,5.0625,71.89297762500001,1.0
101,2024-07-20 19:29:19,3.935619,2024,7,20,19,29,19,,111,18.224,2024,7,20,19,29,19,,10.124722222222221,71.722720656,1.0
101,2024-07-20 19:29:20,3.928519,2024,7,20,19,29,20,,111,18.225,2024,7,20,19,29,20,,15.187222222222221,71.597258775,1.0
101,2024-07-20 19:29:21,3.922614,2024,7,20,19,29,21,,111,18.224,2024,7,20,19,29,21,,20.249444444444443,71.485717536,1.0
101,2024-07-20 19:29:22,3.917566,2024,7,20,19,29,22,,111,18.224,2024,7,20,19,29,22,,25.311666666666667,71.393722784,1.0
101,2024-07-20 19:29:23,3.913173,2024,7,20,19,29,23,,111,18.224,2024,7,20,19,29,23,,30.37388888888889,71.313664752,1.0
101,2024-07-20 19:29:24,3.909294,2024,7,20,19,29,24,,111,18.224,2024,7,20,19,29,24,,35.43611111111111,71.242973856,1.0
101,2024-07-20 19:29:25,3.905833,2024,7,20,19,29,25,,111,18.224,2024,7,20,19,29,25,,40.498333333333335,71.179900592,1.0
101,2024-07-20 19:29:26,3.902712,2024,7,20,19,29,26,,111,18.224,2024,7,20,19,29,26,,45.56055555555555,71.123023488,1.0
101,2024-07-20 19:29:27,3.899869,2024,7,20,19,29,27,,111,18.224,2024,7,20,19,29,27,,50.62277777777777,71.071212656,1.0
101,2024-07-20 19:29:28,3.897282,2024,7,20,19,29,28,,111,18.224,2024,7,20,19,29,28,,55.684999999999995,71.024067168,1.0
101,2024-07-20 19:29:29,3.894888,2024,7,20,19,29,29,,111,18.224,2024,7,20,19,29,29,,60.74722222222221,70.980438912,1.0
101,2024-07-20 19:29:30,3.892674,2024,7,20,19,29,30,,111,18.224,2024,7,20,19,29,30,,65.80944444444444,70.940090976,1.0
101,2024-07-20 19:29:31,3.8906,2024,7,20,19,29,31,,111,18.224,2024,7,20,19,29,31,,70.87166666666666,70.9022944,1.0
101,2024-07-20 19:29:32,3.888647,2024,7,20,19,29,32,,111,18.224,2024,7,20,19,29,32,,75.93388888888887,70.86670292800001,1.0
