Channel,Timestamp,Temperature,Year,Month,Day,Hour,Minute,Second,Total_time
102,2024-07-21 15:26:45,26.8232,2024,07,21,15,26,45,0 days 01:26:38
102,2024-07-21 15:26:46,26.8373,2024,07,21,15,26,46,
102,2024-07-21 15:26:47,26.8286,2024,07,21,15,26,47,
102,2024-07-21 15:26:48,26.8216,2024,07,21,15,26,48,
102,2024-07-21 15:26:49,26.8155,2024,07,21,15,26,49,
102,2024-07-21 15:26:50,26.8084,2024,07,21,15,26,50,
102,2024-07-21 15:26:51,26.8024,2024,07,21,15,26,51,
102,2024-07-21 15:26:52,26.8105,2024,07,21,15,26,52,
102,2024-07-21 15:26:53,26.8188,2024,07,21,15,26,53,
102,2024-07-21 15:26:54,26.8231,2024,07,21,15,26,54,
102,2024-07-21 15:26:55,26.8281,2024,07,21,15,26,55,
102,2024-07-21 15:26:56,26.8306,2024,07,21,15,26,56,
102,2024-07-21 15:26:57,26.8287,2024,07,21,15,26,57,
102,2024-07-21 15:26:58,26.8227,2024,07,21,15,26,58,
102,2024-07-21 15:26:59,26.8148,2024,07,21,15,26,59,
102,2024-07-21 15:27:00,26.8201,2024,07,21,15,27,0,
102,2024-07-21 15:27:01,26.8142,2024,07,21,15,27,1,
102,2024-07-21 15:27:02,26.8168,2024,07,21,15,27,2,
102,2024-07-21 15:27:03,26.8181,2024,07,21,15,27,3,
102,2024-07-21 15:27:04,26.8075,2024,07,21,15,27,4,
102,2024-07-21 15:27:05,26.8168,2024,07,21,15,27,5,
102,2024-07-21 15:27:06,26.8225,2024,07,21,15,27,6,
102,2024-07-21 15:27:07,26.8195,2024,07,21,15,27,7,
102,2024-07-21 15:27:08,26.8222,2024,07,21,15,27,8,
102,2024-07-21 15:27:09,26.8247,2024,07,21,15,27,9,
102,2024-07-21 15:27:10,26.8212,2024,07,21,15,27,10,
102,2024-07-21 15:27:11,26.8251,2024,07,21,15,27,11,
102,2024-07-21 15:27:12,26.8374,2024,07,21,15,27,12,
102,2024-07-21 15:27:13,26.8294,2024,07,21,15,27,13,
102,2024-07-21 15:27:14,26.8304,2024,07,21,15,27,14,
102,2024-07-21 15:27:15,26.8211,2024,07,21,15,27,15,
102,2024-07-21 15:27:16,26.8283,2024,07,21,15,27,16,
102,2024-07-21 15:27:17,26.8198,2024,07,21,15,27,17,
