Channel_x,Timestamp,Voltage,Year_x,Month_x,Day_x,Hour_x,Minute_x,Second_x,Total_time_x,Channel_y,Current,Year_y,Month_y,Day_y,Hour_y,Minute_y,Second_y,Total_time_y,Power,TimeDelta,Capacity,Resistance
101,2024-06-20 18:59:19,3.843596,2024,6,20,18,59,19,0 days 01:32:50,111,0.008,2024,6,20,18,59,19,0 days 01:32:50,0.030748768,0.0,0.0,480.44949999999994
101,2024-06-20 18:59:20,3.918252,2024,6,20,18,59,20,,111,5.23,2024,6,20,18,59,20,,20.49245796,1.0,1.452777777777778,0.7491877629063096
101,2024-06-20 18:59:21,3.920479,2024,6,20,18,59,21,,111,5.231999999999999,2024,6,20,18,59,21,,20.511946127999998,1.0,2.906111111111111,0.7493270259938839
101,2024-06-20 18:59:22,3.922256,2024,6,20,18,59,22,,111,5.231999999999999,2024,6,20,18,59,22,,20.521243392,1.0,4.359444444444444,0.7496666666666667
101,2024-06-20 18:59:23,3.923761,2024,6,20,18,59,23,,111,5.233,2024,6,20,18,59,23,,20.533041313,1.0,5.813055555555556,0.7498110070705141
101,2024-06-20 18:59:24,3.92504,2024,6,20,18,59,24,,111,5.233,2024,6,20,18,59,24,,20.539734319999997,1.0,7.266666666666667,0.7500554175425187
101,2024-06-20 18:59:25,3.926155,2024,6,20,18,59,25,,111,5.233,2024,6,20,18,59,25,,20.545569115,1.0,8.720277777777778,0.7502684884387542
101,2024-06-20 18:59:26,3.927133,2024,6,20,18,59,26,,111,5.233,2024,6,20,18,59,26,,20.550686989,1.0,10.173888888888888,0.7504553793235238
101,2024-06-20 18:59:27,3.927944,2024,6,20,18,59,27,,111,5.233,2024,6,20,18,59,27,,20.554930952,1.0,11.627499999999998,0.7506103573476018
101,2024-06-20 18:59:28,3.92872,2024,6,20,18,59,28,,111,5.233,2024,6,20,18,59,28,,20.55899176,1.0,13.081111111111108,0.7507586470475828
101,2024-06-20 18:59:29,3.929436,2024,6,20,18,59,29,,111,5.234,2024,6,20,18,59,29,,20.566668024,1.0,14.534999999999998,0.7507520061138708
101,2024-06-20 18:59:30,3.930086,2024,6,20,18,59,30,,111,5.234,2024,6,20,18,59,30,,20.570070124,1.0,15.988888888888887,0.7508761941153993
