Timestamp,Voltage,Current,Resistance_mOhm
2024-06-19 08:45:24,4.19356,0.00100,
2024-06-19 08:45:25,4.04629,10.41400,14.14200
2024-06-19 08:45:26,4.04088,10.41500,0.52000
2024-06-19 08:45:27,4.03653,10.41500,0.41700
2024-06-19 08:45:28,4.03284,10.41500,0.35500
2024-06-19 08:45:29,4.02963,10.41500,0.30800
2024-06-19 08:45:30,4.02679,10.41500,0.27200
2024-06-19 08:45:31,4.02426,10.41500,0.24300
2024-06-19 08:45:32,4.02198,10.41500,0.21900
2024-06-19 08:45:33,4.01991,10.41400,0.19900
2024-06-19 08:45:34,4.01801,10.41400,0.18200
2024-06-19 08:45:35,4.01626,10.41500,0.16800
2024-06-19 08:45:36,4.01465,10.41500,0.15500
2024-06-19 08:45:37,4.01315,10.41400,0.14400
2024-06-19 08:45:38,4.01174,10.41400,0.13500
2024-06-19 08:45:39,4.01042,10.41400,0.12600
2024-06-19 08:45:40,4.00918,10.41500,0.12000
2024-06-19 08:45:41,4.00800,10.41400,0.11400
2024-06-19 08:45:42,4.00688,10.41500,0.10700
2024-06-19 08:45:43,4.00580,10.41400,0.10300
2024-06-19 08:45:44,4.00479,10.41400,0.09800
2024-06-19 08:45:45,4.00380,10.41400,0.09500
2024-06-19 08:45:46,4.00284,10.41400,0.09200
2024-06-19 08:45:47,4.00194,10.41500,0.08700
2024-06-19 08:45:48,4.00105,10.41400,0.08600
2024-06-19 08:45:49,4.00019,10.41400,0.08200
2024-06-19 08:45:50,3.99935,10.41500,0.08100
2024-06-19 08:45:51,3.99854,10.41500,0.07800
2024-06-19 08:45:52,3.99774,10.41400,0.07600
2024-06-19 08:45:53,3.99697,10.41400,0.07400
2024-06-19 08:45:54,3.99620,10.41400,0.07400
2024-06-19 08:45:55,3.99545,10.41500,0.07200
2024-06-19 08:45:56,3.99473,10.41500,0.07000
2024-06-19 08:45:57,3.99400,10.41400,0.07000
2024-06-19 08:45:58,3.99329,10.41500,0.06900
2024-06-19 08:45:59,3.99258,10.41400,0.06700
2024-06-19 08:46:00,3.99190,10.41400,0.06600
2024-06-19 08:46:01,3.99121,10.41500,0.06600
2024-06-19 08:46:02,3.99053,10.41500,0.06500
2024-06-19 08:46:03,3.98987,10.41400,0.06300
2024-06-19 08:46:04,3.98920,10.41400,0.06400
2024-06-19 08:46:05,3.98855,10.41500,0.06300
2024-06-19 08:46:06,3.98791,10.41400,0.06200
2024-06-19 08:46:07,3.98727,10.41500,0.06200
2024-06-19 08:46:08,3.98663,10.41400,0.06200
2024-06-19 08:46:09,3.98599,10.41400,0.06100
2024-06-19 08:46:10,3.98536,10.41500,0.06100
2024-06-19 08:46:11,3.98473,10.41500,0.06000
2024-06-19 08:46:12,3.98411,10.41500,0.06000
2024-06-19 08:46:13,3.98349,10.41500,0.06000
2024-06-19 08:46:14,3.98287,10.41500,0.05900
2024-06-19 08:46:15,3.98225,10.41400,0.05900
2024-06-19 08:46:16,3.98165,10.41500,0.05800
2024-06-19 08:46:17,3.98103,10.41400,0.05900
2024-06-19 08:46:18,3.98043,10.41500,0.05800
