Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Elapsed
111,2025-04-27 13:40:23,0.002,2025,04,27,13,40,23,0 days 00:02:10
111,2025-04-27 13:40:24,4.01,2025,04,27,13,40,24,
111,2025-04-27 13:40:25,4.01,2025,04,27,13,40,25,
111,2025-04-27 13:40:26,4.009,2025,04,27,13,40,26,
111,2025-04-27 13:40:27,4.009,2025,04,27,13,40,27,
111,2025-04-27 13:40:28,4.01,2025,04,27,13,40,28,
111,2025-04-27 13:40:29,4.009,2025,04,27,13,40,29,
111,2025-04-27 13:40:30,4.009,2025,04,27,13,40,30,
111,2025-04-27 13:40:31,4.009,2025,04,27,13,40,31,
111,2025-04-27 13:40:32,4.009,2025,04,27,13,40,32,
111,2025-04-27 13:40:33,4.009,2025,04,27,13,40,33,
111,2025-04-27 13:40:34,4.009,2025,04,27,13,40,34,
111,2025-04-27 13:40:35,4.009,2025,04,27,13,40,35,
111,2025-04-27 13:40:36,4.009,2025,04,27,13,40,36,
111,2025-04-27 13:40:37,4.009,2025,04,27,13,40,37,
111,2025-04-27 13:40:38,4.009,2025,04,27,13,40,38,
111,2025-04-27 13:40:39,4.009,2025,04,27,13,40,39,
111,2025-04-27 13:40:40,4.009,2025,04,27,13,40,40,
111,2025-04-27 13:40:41,4.009,2025,04,27,13,40,41,
111,2025-04-27 13:40:42,4.01,2025,04,27,13,40,42,
111,2025-04-27 13:40:43,4.009,2025,04,27,13,40,43,
111,2025-04-27 13:40:44,4.01,2025,04,27,13,40,44,
111,2025-04-27 13:40:45,4.009,2025,04,27,13,40,45,
111,2025-04-27 13:40:46,4.009,2025,04,27,13,40,46,
111,2025-04-27 13:40:47,4.009,2025,04,27,13,40,47,
111,2025-04-27 13:40:48,4.009,2025,04,27,13,40,48,
111,2025-04-27 13:40:49,4.009,2025,04,27,13,40,49,
111,2025-04-27 13:40:50,4.009,2025,04,27,13,40,50,
111,2025-04-27 13:40:51,4.009,2025,04,27,13,40,51,
111,2025-04-27 13:40:52,4.009,2025,04,27,13,40,52,
111,2025-04-27 13:40:53,4.009,2025,04,27,13,40,53,
111,2025-04-27 13:40:54,4.009,2025,04,27,13,40,54,
111,2025-04-27 13:40:55,4.009,2025,04,27,13,40,55,
111,2025-04-27 13:40:56,4.009,2025,04,27,13,40,56,
111,2025-04-27 13:40:57,4.009,2025,04,27,13,40,57,
111,2025-04-27 13:40:58,4.009,2025,04,27,13,40,58,
111,2025-04-27 13:40:59,4.009,2025,04,27,13,40,59,
111,2025-04-27 13:41:00,4.009,2025,04,27,13,41,0,
111,2025-04-27 13:41:01,4.009,2025,04,27,13,41,1,
111,2025-04-27 13:41:02,4.008,2025,04,27,13,41,2,
111,2025-04-27 13:41:03,4.01,2025,04,27,13,41,3,
111,2025-04-27 13:41:04,4.009,2025,04,27,13,41,4,
111,2025-04-27 13:41:05,4.01,2025,04,27,13,41,5,
111,2025-04-27 13:41:06,4.009,2025,04,27,13,41,6,
111,2025-04-27 13:41:07,4.009,2025,04,27,13,41,7,
111,2025-04-27 13:41:08,4.009,2025,04,27,13,41,8,
111,2025-04-27 13:41:09,4.01,2025,04,27,13,41,9,
111,2025-04-27 13:41:10,4.01,2025,04,27,13,41,10,
111,2025-04-27 13:41:11,4.009,2025,04,27,13,41,11,
111,2025-04-27 13:41:12,4.009,2025,04,27,13,41,12,
111,2025-04-27 13:41:13,4.01,2025,04,27,13,41,13,
111,2025-04-27 13:41:14,4.009,2025,04,27,13,41,14,
111,2025-04-27 13:41:15,4.009,2025,04,27,13,41,15,
111,2025-04-27 13:41:16,4.009,2025,04,27,13,41,16,
111,2025-04-27 13:41:17,4.009,2025,04,27,13,41,17,
111,2025-04-27 13:41:18,4.009,2025,04,27,13,41,18,
111,2025-04-27 13:41:19,4.009,2025,04,27,13,41,19,
111,2025-04-27 13:41:20,4.009,2025,04,27,13,41,20,
111,2025-04-27 13:41:21,4.01,2025,04,27,13,41,21,
111,2025-04-27 13:41:22,4.009,2025,04,27,13,41,22,
111,2025-04-27 13:41:23,4.008,2025,04,27,13,41,23,
111,2025-04-27 13:41:24,4.009,2025,04,27,13,41,24,
111,2025-04-27 13:41:25,4.01,2025,04,27,13,41,25,
111,2025-04-27 13:41:26,4.009,2025,04,27,13,41,26,
111,2025-04-27 13:41:27,4.009,2025,04,27,13,41,27,
111,2025-04-27 13:41:28,4.009,2025,04,27,13,41,28,
111,2025-04-27 13:41:29,4.008,2025,04,27,13,41,29,
111,2025-04-27 13:41:30,4.009,2025,04,27,13,41,30,
111,2025-04-27 13:41:31,4.009,2025,04,27,13,41,31,
111,2025-04-27 13:41:32,4.009,2025,04,27,13,41,32,
111,2025-04-27 13:41:33,4.009,2025,04,27,13,41,33,
111,2025-04-27 13:41:34,4.009,2025,04,27,13,41,34,
111,2025-04-27 13:41:35,4.009,2025,04,27,13,41,35,
111,2025-04-27 13:41:36,4.009,2025,04,27,13,41,36,
111,2025-04-27 13:41:37,4.009,2025,04,27,13,41,37,
111,2025-04-27 13:41:38,4.009,2025,04,27,13,41,38,
111,2025-04-27 13:41:39,4.009,2025,04,27,13,41,39,
111,2025-04-27 13:41:40,4.009,2025,04,27,13,41,40,
111,2025-04-27 13:41:41,4.009,2025,04,27,13,41,41,
111,2025-04-27 13:41:42,4.009,2025,04,27,13,41,42,
111,2025-04-27 13:41:43,4.009,2025,04,27,13,41,43,
111,2025-04-27 13:41:44,4.009,2025,04,27,13,41,44,
111,2025-04-27 13:41:45,4.009,2025,04,27,13,41,45,
111,2025-04-27 13:41:46,4.009,2025,04,27,13,41,46,
111,2025-04-27 13:41:47,4.009,2025,04,27,13,41,47,
111,2025-04-27 13:41:48,4.01,2025,04,27,13,41,48,
111,2025-04-27 13:41:49,4.009,2025,04,27,13,41,49,
111,2025-04-27 13:41:50,4.009,2025,04,27,13,41,50,
111,2025-04-27 13:41:51,4.009,2025,04,27,13,41,51,
111,2025-04-27 13:41:52,4.009,2025,04,27,13,41,52,
111,2025-04-27 13:41:53,4.009,2025,04,27,13,41,53,
111,2025-04-27 13:41:54,4.009,2025,04,27,13,41,54,
111,2025-04-27 13:41:55,4.009,2025,04,27,13,41,55,
111,2025-04-27 13:41:56,4.009,2025,04,27,13,41,56,
111,2025-04-27 13:41:57,4.009,2025,04,27,13,41,57,
111,2025-04-27 13:41:58,4.009,2025,04,27,13,41,58,
111,2025-04-27 13:41:59,4.009,2025,04,27,13,41,59,
111,2025-04-27 13:42:00,4.009,2025,04,27,13,42,0,
111,2025-04-27 13:42:01,4.009,2025,04,27,13,42,1,
111,2025-04-27 13:42:02,4.009,2025,04,27,13,42,2,
111,2025-04-27 13:42:03,4.009,2025,04,27,13,42,3,
111,2025-04-27 13:42:04,4.009,2025,04,27,13,42,4,
111,2025-04-27 13:42:05,4.008,2025,04,27,13,42,5,
111,2025-04-27 13:42:06,4.009,2025,04,27,13,42,6,
111,2025-04-27 13:42:07,4.009,2025,04,27,13,42,7,
111,2025-04-27 13:42:08,4.009,2025,04,27,13,42,8,
111,2025-04-27 13:42:09,4.009,2025,04,27,13,42,9,
111,2025-04-27 13:42:10,4.009,2025,04,27,13,42,10,
111,2025-04-27 13:42:11,4.009,2025,04,27,13,42,11,
111,2025-04-27 13:42:12,4.009,2025,04,27,13,42,12,
111,2025-04-27 13:42:13,4.009,2025,04,27,13,42,13,
111,2025-04-27 13:42:14,4.009,2025,04,27,13,42,14,
111,2025-04-27 13:42:15,4.009,2025,04,27,13,42,15,
111,2025-04-27 13:42:16,4.009,2025,04,27,13,42,16,
