Channel,Timestamp,Voltage,Year,Month,Day,Hour,Minute,Second,Total_time
101,2024-07-20 15:26:39,4.195198,2024,07,20,15,26,39,0 days 00:05:06
101,2024-07-20 15:26:40,3.934723,2024,07,20,15,26,40,
101,2024-07-20 15:26:41,3.925577,2024,07,20,15,26,41,
101,2024-07-20 15:26:42,3.918406,2024,07,20,15,26,42,
101,2024-07-20 15:26:43,3.912422,2024,07,20,15,26,43,
101,2024-07-20 15:26:44,3.907296,2024,07,20,15,26,44,
101,2024-07-20 15:26:45,3.902817,2024,07,20,15,26,45,
101,2024-07-20 15:26:46,3.898853,2024,07,20,15,26,46,
101,2024-07-20 15:26:47,3.89532,2024,07,20,15,26,47,
101,2024-07-20 15:26:48,3.892132,2024,07,20,15,26,48,
101,2024-07-20 15:26:49,3.889229,2024,07,20,15,26,49,
101,2024-07-20 15:26:50,3.886565,2024,07,20,15,26,50,
101,2024-07-20 15:26:51,3.884123,2024,07,20,15,26,51,
101,2024-07-20 15:26:52,3.881844,2024,07,20,15,26,52,
101,2024-07-20 15:26:53,3.879727,2024,07,20,15,26,53,
101,2024-07-20 15:26:54,3.877723,2024,07,20,15,26,54,
101,2024-07-20 15:26:55,3.875847,2024,07,20,15,26,55,
101,2024-07-20 15:26:56,3.874065,2024,07,20,15,26,56,
101,2024-07-20 15:26:57,3.87237,2024,07,20,15,26,57,
101,2024-07-20 15:26:58,3.870742,2024,07,20,15,26,58,
101,2024-07-20 15:26:59,3.869172,2024,07,20,15,26,59,
101,2024-07-20 15:27:00,3.86766,2024,07,20,15,27,0,
101,2024-07-20 15:27:01,3.866199,2024,07,20,15,27,1,
101,2024-07-20 15:27:02,3.864774,2024,07,20,15,27,2,
101,2024-07-20 15:27:03,3.863387,2024,07,20,15,27,3,
101,2024-07-20 15:27:04,3.862039,2024,07,20,15,27,4,
101,2024-07-20 15:27:05,3.860714,2024,07,20,15,27,5,
101,2024-07-20 15:27:06,3.859424,2024,07,20,15,27,6,
